chemin,lignes,sha1,role_presume,statut,findings
.env.example,149,7ef80594d6ac,"racine / config projet",A_LIRE,
.gitignore,8,d76986447ef2,"racine / config projet",A_LIRE,
CLAUDE.md,89,1675771c5328,"racine / config projet",A_LIRE,
README.md,185,c0dada68747c,"racine / config projet",A_LIRE,
admin/queueDashboard.js,63,ae79dba86c9f,"dashboard admin",A_LIRE,
bot/telegram.js,449,72315d51091a,"diffusion Telegram",A_LIRE,
bot/test-telegram.js,25,28c348a9920d,"diffusion Telegram",A_LIRE,
config/env.js,26,8160a39b2ce8,"chargement env",LU,1
cron/scheduler.js,119,54f5ae8ed122,"scheduler",LU,2
db/database.js,68,c3a03a8ad3cf,"accès et schéma base",A_LIRE,
db/init.js,323,be4d5fad71b4,"accès et schéma base",A_LIRE,
db/introspect.js,89,63165e113db7,"accès et schéma base",A_LIRE,
db/schema_neon.sql,332,c040a5c977b1,"accès et schéma base",A_LIRE,
nexus/agents/apiAgent.js,167,f715b40e2909,"agent Nexus",A_LIRE,
nexus/agents/browserAgent.js,140,06231f2c497a,"agent Nexus",A_LIRE,
nexus/agents/businessAgent.js,252,bc9f006e30f8,"agent Nexus",A_LIRE,
nexus/agents/codeAgent.js,40,c3f9aaccbcb9,"agent Nexus",A_LIRE,
nexus/agents/critiqueAgent.js,185,0541471f77d8,"agent Nexus",A_LIRE,
nexus/agents/customAgent.js,95,eb6759a1b7a3,"agent Nexus",A_LIRE,
nexus/agents/execAgent.js,160,0e9e2a9212bd,"agent Nexus",A_LIRE,
nexus/agents/financeAgent.js,300,79717966b376,"agent Nexus",A_LIRE,
nexus/agents/googleAgent.js,275,5cdd657f2553,"agent Nexus",A_LIRE,
nexus/agents/monitorAgent.js,81,3aa2fa498cfb,"agent Nexus",A_LIRE,
nexus/agents/notifyAgent.js,34,6c1e7715f564,"agent Nexus",A_LIRE,
nexus/agents/plannerAgent.js,199,3a0fab06d83e,"agent Nexus",A_LIRE,
nexus/agents/radarAgent.js,135,1a2131028a33,"agent Nexus",A_LIRE,
nexus/agents/researchAgent.js,38,ac015d8d1aa2,"agent Nexus",A_LIRE,
nexus/agents/visionAgent.js,91,612fd2458406,"agent Nexus",A_LIRE,
nexus/agents/writeAgent.js,41,4a258dc30256,"agent Nexus",A_LIRE,
nexus/autonomous/contentEngine.js,177,90ef4a9ef593,"Nexus (module en veille)",A_LIRE,
nexus/autonomous/decisionEngine.js,316,0a5455671f72,"Nexus (module en veille)",A_LIRE,
nexus/autonomous/opportunityEngine.js,275,bb5fb064c5f3,"Nexus (module en veille)",A_LIRE,
nexus/autonomous/outreachEngine.js,176,bb134da7224d,"Nexus (module en veille)",A_LIRE,
nexus/autonomous/problemSolver.js,182,716a27857206,"Nexus (module en veille)",A_LIRE,
nexus/autonomous/revenueTracker.js,173,053cb4c1b1c0,"Nexus (module en veille)",A_LIRE,
nexus/autonomous/saasFactory.js,410,f6f458a968bf,"Nexus (module en veille)",A_LIRE,
nexus/chat.html,983,25410b2363c3,"Nexus (module en veille)",A_LIRE,
nexus/dashboard.js,252,8c5374d2c872,"Nexus (module en veille)",A_LIRE,
nexus/index.js,20,f93d911df0e6,"Nexus (module en veille)",A_LIRE,
nexus/jarvis.js,136,6aaa0013c002,"Nexus (module en veille)",A_LIRE,
